pin_name,port,pin_number,mode,pull,speed,alternate_function,initial_state,description,subsystem
# STM32F769BIT6 Pin Definitions - HIL Board
# Modes: OUTPUT_PP, OUTPUT_OD, INPUT, ANALOG, AF_PP, AF_OD, IT_RISING, IT_FALLING, IT_RISING_FALLING
# Pull: NOPULL, PULLUP, PULLDOWN
# Speed: LOW, MEDIUM, HIGH, VERY_HIGH
# Alternate functions: TIM1_CH1, CAN1_TX, USART1_TX, etc. (leave empty if not AF mode)
# Initial state: 0 (LOW) or 1 (HIGH) for OUTPUT modes only

# ========== PORT A PINS ==========
UART4_TX,GPIOA,2,AF_PP,NOPULL,VERY_HIGH,UART4,,UART4 transmit,COMMUNICATION
UART4_RX,GPIOA,1,AF_PP,PULLUP,VERY_HIGH,UART4,,UART4 receive,COMMUNICATION
LDAC_3,GPIOA,3,OUTPUT_PP,NOPULL,HIGH,,0,DAC load control 3,DAC
DAC_1,GPIOA,4,ANALOG,NOPULL,HIGH,,0,DAC control 1,DAC
DAC_2,GPIOA,5,ANALOG,NOPULL,HIGH,,0,DAC control 2,DAC
CAN3_RX,GPIOA,8,AF_PP,PULLUP,VERY_HIGH,CAN3,,CAN3 receive,COMMUNICATION
GPIO5V_14,GPIOA,9,INPUT,NOPULL,HIGH,,0,5V GPIO input 14,GPIO
GPIO3V_15,GPIOA,10,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 15,GPIO
CAN1_RX,GPIOA,11,AF_PP,PULLUP,VERY_HIGH,CAN1,,CAN1 receive,COMMUNICATION
CAN1_TX,GPIOA,12,AF_PP,NOPULL,VERY_HIGH,CAN1,,CAN1 transmit,COMMUNICATION
SWDIO,GPIOA,13,AF_PP,PULLUP,VERY_HIGH,SWD,,Serial wire debug data,DEBUG
SWCLK,GPIOA,14,AF_PP,PULLDOWN,VERY_HIGH,SWD,,Serial wire debug clock,DEBUG
CAN3_TX,GPIOA,15,AF_PP,NOPULL,VERY_HIGH,CAN3,,CAN3 transmit,COMMUNICATION

# ========== PORT B PINS ==========
GPIO5V_6,GPIOB,0,INPUT,NOPULL,HIGH,,0,5V GPIO input 6,GPIO
GPIO5V_5,GPIOB,1,INPUT,NOPULL,HIGH,,0,5V GPIO input 5,GPIO
GPIO5V_4,GPIOB,2,INPUT,NOPULL,HIGH,,0,5V GPIO input 4,GPIO
PB3_JTDO_TRACESWO,GPIOB,3,AF_PP,NOPULL,VERY_HIGH,SWO,,JTAG trace output,DEBUG
PB4_NJTRST,GPIOB,4,AF_PP,PULLUP,VERY_HIGH,NJTRST,,JTAG reset,DEBUG
CAN2_RX,GPIOB,5,AF_PP,PULLUP,VERY_HIGH,CAN2,,CAN2 receive,COMMUNICATION
CAN2_TX,GPIOB,6,AF_PP,NOPULL,VERY_HIGH,CAN2,,CAN2 transmit,COMMUNICATION
I2C1_SCL,GPIOB,8,AF_OD,NOPULL,VERY_HIGH,I2C1,,I2C1 clock,COMMUNICATION
I2C1_SDA,GPIOB,9,AF_OD,NOPULL,VERY_HIGH,I2C1,,I2C1 data,COMMUNICATION
UART3_TX,GPIOB,10,AF_PP,NOPULL,VERY_HIGH,USART3,,UART3 transmit,COMMUNICATION
UART3_RX,GPIOB,11,AF_PP,PULLUP,VERY_HIGH,USART3,,UART3 receive,COMMUNICATION
